ID,Type,Original text
0,Speech,Man this place gets dirty by closing time.
1,Speech,Still cleaner than my place though.
2,Speech,Sammy's tried everything to raise the profits of this place.
3,Speech,The Quiz hasn't quite taken off though...
4,Speech,Last week there was a round all about Mustard...
5,Speech,20 questions all about mustard. I just couldn't cut it...
6,Speech,....humm....
7,Speech,You ok Cliff?
8,Speech,"Yesh, yesh. I'll be fine once Shammy gets me a drink. "
9,Speech,The Guest Ales are a good idea.
10,Speech,"However, I still think Sammy should take into account the name of the ale before ordering it."
11,Speech,I'm not sure I want a pint of 'Rectors Brown Finger' or 'Pustulant Dreams'...
12,Speech,The streets round here are not paved with gold.
13,Speech,Although that puddle does look like it's been paved with a golden shower.
14,Speech,I'm not not leaving until I've finish my pint. I did pay for it after all.
15,Speech,"So there I am at the bar, 12 beers in… "
16,Speech,"Ok maybe I’m exaggerating, maybe it’s more like 3 but at least I would be one hell of a cheap date! If I could get a date that is. My experience of dating is a lot like reversed survivors guilt. ‘Why was it never me?’"
17,Speech,"Hey there handsome, you come here often?"
18,Speech,Are you going for the silent and mysterious approach? That's cute!
19,Speech,"Listen, considering this place is... well quite frankly... dreadful, why not meet me in the alley behind the bar?"
20,Speech,There's something I'm dying to share with you...
21,Speech,"Besides, this is The Copper Pot, you don’t really have good-looking women walking into this bar…"
22,Speech,"But it’s 10:30, I am about to order my last beer of the night before heading home to continue my feeble existence when my life changed forever."
23,Speech,"And there she was. [break]She was not the usual type of woman who would drink here. For a start both her eyes pointed in the right direction, and she still had all of her teeth.[break] "
24,Speech,"She, however, spotted me. "
25,Speech,I’m not sure if it was shock or a processing delay in my brain but all I could do was stand there with my mouth open and gape.[break] 
26,Speech,"Speak, you idiot! She’s hot and quite obviously coming on to you! "
27,Speech,It'll change your life...
28,Speech,Change my life? Now that sounds like my kind of night!
29,Speech,She was what the British would call ‘Well fit’.
30,Speech,I was waiting for Sammy to get me my next drink so I didn't spot her immediately.
31,Speech,"She had grace, poise and that certain special something."
32,Speech,"An attractive woman had, by choice, approached me in a bar. Actually spoken to me with something other than scorn."
33,Speech,And I couldn't say a damned word.
34,Speech,"I'll admit that her chat up technique was odd, strangely awful and amazing at the same time."
35,Speech,I didn't care!
36,Speech,So don't keep a girl waiting eh?
37,Speech,Yup. I was heading to that alley.
38,Speech,And that was only the first of the many bad decisions to follow...
39,Speech,Keep a girl waiting? Not a chance my friend!
40,Speech,"Right listen up, as I will only say this once!"
41,Speech,"Yes, I am talking to you, ready player 1..."
42,Speech,"Yes It's a point and click game, so it doesn't take a rocket scientist to work out what you need to do here. "
43,Speech,"Hover the icon over the objects within the game, and you will see one or maybe two of these amazingly designed icons. "
44,Speech,"If the icon is on the left, it's left click, if the icon is on the right...well I am sure you can figure that part out. "
45,Speech,"Now then, that's the only help you are going to get so, you can figure the rest for youself. "
46,Speech,"Oh, and one last thing. If you are the impatient type, double click to get where you want to go quicker. "
47,Speech,"Hey, What are you looking at?"
48,Speech,"Ermm...Nothing, just minding my own business."
49,Speech,Ah. That hit the spot!
50,Speech,Man this place gets dirty by closing time.
51,Speech,Still cleaner than my place though.
52,Speech,A left over sandwich. Looks like it's been here for hours...
53,Speech,Sammy wasn't kidding when he said he was struggling.
54,Speech,"Well, it's one less thing for him to clean up. It might be useful. "
55,Speech,"Ok, just because you struggle with the controls..."
56,Speech,Yes i'm talking to you again!
57,Speech,"To access your Inventory, hover the mouse at the top of the screen."
58,Speech,The same rules apply to your items in your inventory as the ones you use in the game. 
59,Speech,"And remember, your inventory isn't just about a fancy description, examining and even combining just might get you to where you need to go. "
60,Speech,"Now then, off you go, you have someone waiting for you after all."
61,Speech,A half eaten meaty sandwich. What a waste!
62,Speech,How about one for the road Sammy? 
63,Speech,Another one? Don’t you think you’ve had enough? You know what you get like when you’ve had too much…
64,Speech,"You’re right, I know what I get like when I drink too much."
65,Speech,"I just ran into Cliff outside, you know he doesn’t seem so bad. Why not give him another chance?"
66,Speech,Let me start by stopping you right there. [break]The answer is no. [break]
67,Speech,But you don’t know what I was going to say?
68,Speech,"Listen man, I know you’re going to ask me to give him another beer, and the answer is 'No'."
69,Speech,"Whenever he goes too far, it’s always me that needs to clean up his mess. "
70,Speech,True but…
71,Speech,Come on Sammy!
72,Speech,"…fine, but if he pukes then you are barred for life Sole! Do you really have that much faith in him?"
73,Speech,Of course I do.
74,Speech,"I didn’t, but getting to that alley was all that mattered to me. Woah I really was desperate…"
75,Speech,Hey Sammy!
76,Speech,"Oh, hey Sole. "
77,Speech,So how are you doing? Still watching those soap operas?
78,Speech,'The Young Vets’ is not a soap opera.
79,Speech,It’s an artistic exploration of the lives of talented veterinarians and the animals those vets save and love.
80,Speech,Yeah...
81,Speech,"However, you must admit that they are all incredibly attractive and constantly sleeping with each other’s partners at the drop of a hat, surely?"
82,Speech,I will admit nothing.
83,Speech,Everything ok? You seem a bit gloomy this evening?
